time,lat,lon,power_mw,temp_k,area_m2,mask,fire
2025-01-07 17:46:17.084606976,34.43617554615696,-119.90735742026163,15.317429,,4000.0,215.0,Other
2025-01-07 17:46:17.084606976,33.275084272561934,-116.87785251715385,3.2272365,,4000.0,200.0,Other
2025-01-07 18:36:17.087281024,34.07145843020336,-118.55640253905382,220.93063,,,13.0,Palisades
2025-01-07 18:51:17.086904064,34.07145843020336,-118.55640253905382,166.44986,,,33.0,Palisades
2025-01-07 18:56:17.088577024,34.07145843020336,-118.55640253905382,529.90674,,,33.0,Palisades
2025-01-07 19:01:17.088444928,34.07145843020336,-118.55640253905382,1246.5853,,,33.0,Palisades
2025-01-07 19:01:17.088444928,34.48048615620151,-118.37893534552323,26.226646,,4000.0,215.0,Other
2025-01-07 19:01:17.088444928,34.07400704112978,-118.59415303589158,225.48479,,,33.0,Palisades
2025-01-07 19:01:17.088444928,34.068969962321546,-118.51880459364624,393.00226,,,33.0,Palisades
2025-01-07 19:01:17.088444928,34.045389075623206,-118.53591232702891,374.9713,,,33.0,Palisades
2025-01-07 19:01:17.088444928,34.09748567393056,-118.576825912057,274.8336,,,33.0,Palisades
2025-01-07 19:06:17.088297984,34.045389075623206,-118.53591232702891,866.62787,,,33.0,Palisades
2025-01-07 19:06:17.088297984,34.09748567393056,-118.576825912057,461.3884,,,33.0,Palisades
2025-01-07 19:06:17.088297984,34.07400704112978,-118.59415303589158,401.9477,,,33.0,Palisades
2025-01-07 19:06:17.088297984,34.068969962321546,-118.51880459364624,958.37494,,,33.0,Palisades
2025-01-07 19:11:17.088142976,34.04793264602768,-118.57362735342862,284.41092,,,33.0,Palisades
2025-01-07 19:11:17.088142976,34.07400704112978,-118.59415303589158,730.1771,,,33.0,Palisades
2025-01-07 19:11:17.088142976,34.045389075623206,-118.53591232702891,1263.2456,,,33.0,Palisades
2025-01-07 19:11:17.088142976,34.068969962321546,-118.51880459364624,1854.4454,,,33.0,Palisades
2025-01-07 19:11:17.088142976,34.07145843020336,-118.55640253905382,3996.3508,968.1001,70651.14,30.0,Palisades
2025-01-07 19:16:17.087988992,34.045389075623206,-118.53591232702891,1049.6119,,,33.0,Palisades
2025-01-07 19:16:17.087988992,34.068969962321546,-118.51880459364624,1686.8264,,,33.0,Palisades
2025-01-07 19:16:17.087988992,34.04793264602768,-118.57362735342862,278.94696,,,33.0,Palisades
2025-01-07 19:16:17.087988992,34.07400704112978,-118.59415303589158,703.37036,,,33.0,Palisades
2025-01-07 19:16:17.087988992,34.09748567393056,-118.576825912057,1073.6649,,,33.0,Palisades
2025-01-07 19:16:17.087988992,34.07145843020336,-118.55640253905382,3750.0508,958.54114,68943.7,30.0,Palisades
2025-01-07 19:21:17.089635072,34.09748567393056,-118.576825912057,452.40793,,,33.0,Palisades
2025-01-07 19:21:17.089635072,34.07400704112978,-118.59415303589158,457.00568,,,33.0,Palisades
2025-01-07 19:21:17.089635072,34.068969962321546,-118.51880459364624,667.0261,,,33.0,Palisades
2025-01-07 19:21:17.089635072,34.04793264602768,-118.57362735342862,252.56332,,,33.0,Palisades
2025-01-07 19:21:17.089635072,34.045389075623206,-118.53591232702891,960.9379,,,33.0,Palisades
2025-01-07 19:26:17.089463040,34.07400704112978,-118.59415303589158,486.05237,,,33.0,Palisades
2025-01-07 19:26:17.089463040,34.04793264602768,-118.57362735342862,304.44678,,,33.0,Palisades
2025-01-07 19:26:17.089463040,34.045389075623206,-118.53591232702891,1097.6381,,,33.0,Palisades
2025-01-07 19:26:17.089463040,34.068969962321546,-118.51880459364624,552.41113,,,33.0,Palisades
2025-01-07 19:26:17.089463040,34.09748567393056,-118.576825912057,295.10834,,,33.0,Palisades
2025-01-07 19:31:17.089282048,34.04793264602768,-118.57362735342862,283.72852,,,33.0,Palisades
2025-01-07 19:31:17.089282048,34.07400704112978,-118.59415303589158,330.03067,,,33.0,Palisades
2025-01-07 19:31:17.089282048,34.07145843020336,-118.55640253905382,1133.8947,,,33.0,Palisades
2025-01-07 19:31:17.089282048,34.045389075623206,-118.53591232702891,651.6656,,,33.0,Palisades
2025-01-07 19:31:17.089282048,34.068969962321546,-118.51880459364624,297.01993,,,33.0,Palisades
2025-01-07 19:36:17.089102976,34.068969962321546,-118.51880459364624,477.6811,,,33.0,Palisades
2025-01-07 19:36:17.089102976,34.07400704112978,-118.59415303589158,331.7486,,,33.0,Palisades
2025-01-07 19:36:17.089102976,34.04793264602768,-118.57362735342862,359.97067,,,33.0,Palisades
2025-01-07 19:36:17.089102976,34.09748567393056,-118.576825912057,374.7299,,,33.0,Palisades
2025-01-07 19:36:17.089102976,34.045389075623206,-118.53591232702891,950.7027,,,33.0,Palisades
2025-01-07 19:41:17.088919040,34.07400704112978,-118.59415303589158,503.9561,,,33.0,Palisades
2025-01-07 19:41:17.088919040,34.07145843020336,-118.55640253905382,2217.4126,841.1964,70407.22,30.0,Palisades
2025-01-07 19:41:17.088919040,34.068969962321546,-118.51880459364624,803.9424,,,33.0,Palisades
2025-01-07 19:46:17.088718080,34.04793264602768,-118.57362735342862,777.48706,,,33.0,Palisades
2025-01-07 19:46:17.088718080,34.045389075623206,-118.53591232702891,1484.4814,1318.4313,9122.32,30.0,Palisades
2025-01-07 19:46:17.088718080,34.042905560281234,-118.4983495521721,243.23022,,,33.0,Palisades
2025-01-07 19:46:17.088718080,34.07400704112978,-118.59415303589158,608.0627,,,33.0,Palisades
2025-01-07 19:46:17.088718080,34.07145843020336,-118.55640253905382,2079.8196,722.5332,136814.44,30.0,Palisades
2025-01-07 19:46:17.088718080,34.09748567393056,-118.576825912057,225.31746,,,33.0,Palisades
2025-01-07 19:46:17.088718080,34.068969962321546,-118.51880459364624,687.84344,,,33.0,Palisades
2025-01-07 19:51:17.090312960,34.04793264602768,-118.57362735342862,861.8446,1266.6809,6012.34,30.0,Palisades
2025-01-07 19:51:17.090312960,34.07145843020336,-118.55640253905382,1870.8224,721.87396,123703.74,30.0,Palisades
2025-01-07 19:51:17.090312960,34.068969962321546,-118.51880459364624,537.0999,1081.8191,6256.26,30.0,Palisades
2025-01-07 19:51:17.090312960,34.07400704112978,-118.59415303589158,638.57684,,,33.0,Palisades
2025-01-07 19:51:17.090312960,34.045389075623206,-118.53591232702891,1605.7246,829.5498,54308.5,30.0,Palisades
2025-01-07 19:51:17.090312960,34.042905560281234,-118.4983495521721,266.06607,871.1918,7231.94,30.0,Palisades
2025-01-07 19:51:17.090312960,34.09748567393056,-118.576825912057,258.05695,1888.2893,4000.0,30.0,Palisades
2025-01-07 19:56:17.090105984,34.045389075623206,-118.53591232702891,1578.8506,892.67206,38758.6,30.0,Palisades
2025-01-07 19:56:17.090105984,34.068969962321546,-118.51880459364624,482.9603,801.8617,19062.059,30.0,Palisades
2025-01-07 19:56:17.090105984,34.04793264602768,-118.57362735342862,1093.4337,1130.0535,11012.699,30.0,Palisades
2025-01-07 19:56:17.090105984,34.042905560281234,-118.4983495521721,230.38737,981.3948,4000.0,30.0,Palisades
2025-01-07 19:56:17.090105984,34.07145843020336,-118.55640253905382,2081.7368,764.7795,103031.516,30.0,Palisades
2025-01-07 19:56:17.090105984,34.09748567393056,-118.576825912057,234.41856,,,33.0,Palisades
2025-01-07 19:56:17.090105984,34.07400704112978,-118.59415303589158,547.1348,,,33.0,Palisades
